,Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual,Comunidad Autonoma
218,Septiembre 2007,2.753 €/m2,"- 0,2 %","- 1,1 %","+ 3,2 %",Madrid
219,Agosto 2007,2.759 €/m2,"- 1,2 %","+ 0,2 %","+ 6,5 %",Madrid
220,Julio 2007,2.794 €/m2,"+ 0,4 %","+ 0,9 %","+ 7,0 %",Madrid
221,Junio 2007,2.783 €/m2,"+ 1,0 %","+ 0,3 %","+ 5,6 %",Madrid
222,Mayo 2007,2.754 €/m2,"- 0,5 %","+ 0,9 %","+ 6,1 %",Madrid
223,Abril 2007,2.769 €/m2,"- 0,3 %","+ 1,4 %","+ 8,7 %",Madrid
224,Marzo 2007,2.776 €/m2,"+ 1,7 %","+ 2,7 %","+ 6,2 %",Madrid
225,Febrero 2007,2.729 €/m2,"0,0 %","- 0,2 %","- 1,3 %",Madrid
226,Enero 2007,2.731 €/m2,"+ 1,1 %","+ 4,0 %","+ 1,8 %",Madrid
227,Diciembre 2006,2.702 €/m2,"- 1,2 %","+ 1,3 %",n.d.,Madrid
228,Noviembre 2006,2.736 €/m2,"+ 4,2 %","+ 5,6 %",n.d.,Madrid
229,Octubre 2006,2.625 €/m2,"- 1,5 %","+ 0,6 %",n.d.,Madrid
230,Septiembre 2006,2.666 €/m2,"+ 2,9 %","+ 1,2 %",n.d.,Madrid
231,Agosto 2006,2.591 €/m2,"- 0,7 %","- 0,2 %",n.d.,Madrid
232,Julio 2006,2.610 €/m2,"- 0,9 %","+ 2,5 %",n.d.,Madrid
233,Junio 2006,2.634 €/m2,"+ 1,5 %","+ 0,8 %",n.d.,Madrid
234,Mayo 2006,2.596 €/m2,"+ 1,9 %","- 6,1 %",n.d.,Madrid
235,Abril 2006,2.547 €/m2,"- 2,6 %","- 5,0 %",n.d.,Madrid
236,Marzo 2006,2.614 €/m2,"- 5,4 %",n.d.,n.d.,Madrid
237,Febrero 2006,2.765 €/m2,"+ 3,1 %",n.d.,n.d.,Madrid
238,Enero 2006,2.682 €/m2,n.d.,n.d.,n.d.,Madrid
